Site,distancecategory
Pasture10,Low
Pasture11,Medium
Pasture12,Medium
Pasture13,Low
Pasture14,Medium
Pasture15,Medium
Pasture16,High
Pasture17,High
Pasture18,High
Pasture19,Medium
Pasture2,Medium
Pasture20,High
Pasture3,Medium
Pasture4,High
Pasture5,High
Pasture6,Medium
Pasture7,Low
Pasture8,Low
Pasture9,Medium
PSA0001-2013,Low
PSA0001-2019,Medium
PSA0003-2013,Medium
PSA0003-2016,Low
PSA0004-2017,High
PSA0006-2020,Low
PSA0009-2018,High
PSA0010-2010,High
PSA0019-2015,High
PSA0022-2013,Medium
PSA0022-2015,High
PSA0025-2015,High
PSA0026-2020,Low
PSA0027-2018,Medium
PSA0027-2020,High
PSA0033-2020,Low
PSA0034-2013,High
PSA0035-2017,High
PSA0042-2017,High
PSA0045-2013,Medium
PSA0049-2013,Low
PSA0051-2018,Low
PSA0059-2012,Low
PSA0061-2012,Low
PSA0074-2020,Medium
PSA0077-2013,High
PSA0078-2013,Low
PSA0087-2013,Medium
PSA0089-2016,Low
PSA0093-2010,High
PSA0093-2018,High
PSA0094-2013,Low
PSA0095-2013,Low
PSA0096-2013,Low
PSA0099-2013,High
PSA0099-2019,Medium
PSA0116-2019,High
PSA0123-2018,Low
PSA0131-2018,Medium
PSA0132-2013,Medium
PSA0135-2020,Medium
PSA0151-2016,Low
PSA0152-2013,High
PSA0159-2020,Medium
PSA0161-2016,Medium
PSA0165-2021,High
PSA0166-2016,Medium
PSA0167-2010,Medium
PSA0168-2016,High
PSA0170-2016,Medium
PSA0175-2013,Medium
PSA0179-2013,High
PSA0183-2017,High
PSA0189-2007,Medium
PSA0192-2009,Medium
PSA0193-2013,High
PSA0229-2012,High
PSA0254-2011,High
PSA0259-2012,Low
PSA0280-2012,High
PSA0285-2011,Medium
PSA0289-2012,Low
PSA0290-2012,Low
PSA0292-2012,Low
PSA0310-2011,Medium
PSA0313-2012,Low
PSA0331-2012,High
PSA0332-2012,Low
PSA0341-2012,High
PSA0342-2013,Low
PSA0350-2012,Medium
PSA0351-2012,Low
PSA0373-2011,Medium
PSA0374-2012,Medium
PSA0377-2011,Medium
PSA0380-2011,Medium
PSA0400-2013,Low
PSA0401-2011,High
PSA0418-2013,High
PSA0429-2012,High
PSA0431-2013,High
PSA0483-2013,High
RefForest1,High
RefForest10,Medium
RefForest11,Medium
RefForest12,Low
RefForest13,Low
RefForest14,Low
RefForest15,Medium
RefForest16,Medium
RefForest17,Medium
RefForest18,Low
RefForest19,Low
RefForest4,High
RefForest5,Low
RefForest6,Low
RefForest7,High
RefForest8.1,High
RefForest8.2,Low
RefForest9,Low
