Site,Slope,Slope_Group
Pasture10,1.1080897,Low
Pasture11,2.313816,Medium
Pasture12,1.2561057,Medium
Pasture13,4.24195,High
Pasture14,1.0468774,Low
Pasture15,0.36327264,Low
Pasture16,7.0047746,High
Pasture17,0.641328,Low
Pasture18,0.39914632,Low
Pasture19,0.821193,Low
Pasture2,2.680209,Medium
Pasture20,0.55931425,Low
Pasture3,5.52778,High
Pasture4,7.4196553,High
Pasture5,5.551737,High
Pasture6,5.928684,High
Pasture7,0.9039712,Low
Pasture8,4.8071136,High
Pasture9,0.4383019,Low
PSA0001-2013,11.653282,High
PSA0001-2019,0.8383992,Low
PSA0003-2013,0.7121719,Low
PSA0003-2016,11.120543,High
PSA0004-2017,6.3598995,High
PSA0006-2020,11.985277,High
PSA0009-2018,10.547546,High
PSA0010-2010,4.435197,High
PSA0019-2015,7.239104,High
PSA0022-2013,4.45487,High
PSA0022-2015,7.0162916,High
PSA0025-2015,0.7916238,Low
PSA0026-2020,12.523174,High
PSA0027-2018,9.444889,High
PSA0027-2020,2.680209,Medium
PSA0033-2020,4.4257927,High
PSA0034-2013,5.2377234,High
PSA0035-2017,6.4143157,High
PSA0042-2017,8.282835,High
PSA0045-2013,5.306849,High
PSA0049-2013,4.8791027,High
PSA0051-2018,0.3014317,Low
PSA0059-2012,5.6245966,High
PSA0061-2012,7.6380053,High
PSA0074-2020,24.478657,High
PSA0077-2013,9.76119,High
PSA0078-2013,1.2745504,Medium
PSA0087-2013,1.7463756,Medium
PSA0089-2016,12.153812,High
PSA0093-2010,1.6305394,Medium
PSA0093-2018,6.1320624,High
PSA0094-2013,0.9883902,Low
PSA0095-2013,2.276651,Medium
PSA0096-2013,2.6037774,Medium
PSA0099-2013,2.6848164,Medium
PSA0099-2019,9.940644,High
PSA0116-2019,6.9133697,High
PSA0123-2018,5.1991606,High
PSA0131-2018,9.858407,High
PSA0132-2013,7.902074,High
PSA0135-2020,7.548996,High
PSA0151-2016,2.0927377,Medium
PSA0152-2013,6.722061,High
PSA0159-2020,21.980461,High
PSA0161-2016,12.515257,High
PSA0165-2021,7.6380053,High
PSA0166-2016,6.3312426,High
PSA0167-2010,3.6693478,Medium
PSA0168-2016,9.4636345,High
PSA0170-2016,3.7712379,Medium
PSA0175-2013,13.07531,High
PSA0179-2013,1.4221253,Medium
PSA0183-2017,9.4636345,High
PSA0189-2007,4.808727,High
PSA0192-2009,10.142193,High
PSA0193-2013,8.656762,High
PSA0229-2012,12.741041,High
PSA0254-2011,4.0537815,Medium
PSA0259-2012,4.081753,High
PSA0280-2012,5.6557984,High
PSA0285-2011,6.6152625,High
PSA0289-2012,3.3097491,Medium
PSA0290-2012,5.7269855,High
PSA0292-2012,4.2814994,High
PSA0310-2011,3.4815302,Medium
PSA0313-2012,4.4294744,High
PSA0331-2012,8.077938,High
PSA0332-2012,10.678228,High
PSA0341-2012,6.418464,High
PSA0342-2013,6.9078755,High
PSA0350-2012,13.858962,High
PSA0351-2012,8.839483,High
PSA0373-2011,8.726723,High
PSA0374-2012,2.5168657,Medium
PSA0377-2011,1.1590554,Low
PSA0380-2011,3.1118183,Medium
PSA0400-2013,3.8963795,Medium
PSA0401-2011,3.8496737,Medium
PSA0418-2013,10.42083,High
PSA0429-2012,0.8363495,Low
PSA0431-2013,5.157921,High
PSA0483-2013,11.2481785,High
RefForest1,10.777237,High
RefForest10,11.517035,High
RefForest11,0.5695957,Low
RefForest12,4.968528,High
RefForest13,10.225211,High
RefForest14,10.319986,High
RefForest15,1.1461627,Low
RefForest16,1.7226958,Medium
RefForest17,1.2882998,Medium
RefForest18,1.7469962,Medium
RefForest19,0.9609572,Low
RefForest4,1.6677189,Medium
RefForest5,10.652999,High
RefForest6,12.826527,High
RefForest7,6.010303,High
RefForest8.1,5.306849,High
RefForest8.2,10.953546,High
RefForest9,17.02423,High
